,Ticker,Exchange,Industry,Supersector,Sector,Subsector,
"Groupon, Inc.",GRPN,Nasdaq,Technology,Technology,Software and Computer Services,Consumer Digital Services,
"Hangzhou Hikvision Digital Technology Co., Ltd Class A",002415,Shenzhen Stock Exchange,Technology,Technology,Technology Hardware and Equipment,Electronic Components,
HCL Technologies Limited,532281,BSE LTD,Technology,Technology,Software and Computer Services,Computer Services,
Infosys Limited,500209,BSE LTD,Technology,Technology,Software and Computer Services,Computer Services,
Just Dial Ltd.,535648,BSE LTD,Technology,Technology,Software and Computer Services,Consumer Digital Services,
"Manhattan Associates, Inc.",MANH,Nasdaq,Technology,Technology,Software and Computer Services,Software,
Match Group,MTCH,Nasdaq,Technology,Technology,Software and Computer Services,Consumer Digital Services,
Meituan Class B,03690,Hong Kong Exchanges And Clearing Ltd,Technology,Technology,Software and Computer Services,Consumer Digital Services,
Micro Focus International Plc,MCRO,London Stock Exchange,Technology,Technology,Software and Computer Services,Software,
Microsoft Corporation,MSFT,Nasdaq,Technology,Technology,Software and Computer Services,Software,
Mindtree Limited,532819,BSE LTD,Technology,Technology,Software and Computer Services,Computer Services,
NVIDIA Corp,NVDA,Nasdaq,Technology,Technology,Technology Hardware and Equipment,Semiconductors,
NXP Semiconductors NV,NXPI,Nasdaq,Technology,Technology,Technology Hardware and Equipment,Semiconductors,
Oracle Corporation,ORCL,"New York Stock Exchange, Inc.",Technology,Technology,Software and Computer Services,Software,
Qualcomm Inc,QCOM,Nasdaq,Technology,Technology,Technology Hardware and Equipment,Semiconductors,
Sage Group Plc,SGE,London Stock Exchange,Technology,Technology,Software and Computer Services,Software,
Salesforce.com Inc,CRM,"New York Stock Exchange, Inc.",Technology,Technology,Software and Computer Services,Software,
SAP SE,SAP,"New York Stock Exchange, Inc.",Technology,Technology,Software and Computer Services,Software,
"Shopify, Inc. Class A",SHOP,Toronto Stock Exchange,Technology,Technology,Software and Computer Services,Consumer Digital Services,
Sohu.com Ltd - ADR,SOHU,Nasdaq,Technology,Technology,Software and Computer Services,Consumer Digital Services,
Tata Consultancy Services Limited,532540,BSE LTD,Technology,Technology,Software and Computer Services,Computer Services,
Tech Mahindra Limited,532755,BSE LTD,Technology,Technology,Software and Computer Services,Computer Services,
Tencent Holdings Ltd.,00700,Hong Kong Exchanges And Clearing Ltd,Technology,Technology,Software and Computer Services,Consumer Digital Services,
"Twitter, Inc.",TWTR,"New York Stock Exchange, Inc.",Technology,Technology,Software and Computer Services,Consumer Digital Services,
Wipro Limited,507685,BSE LTD,Technology,Technology,Software and Computer Services,Computer Services,
Xerox Holdings Corp,XRX,"New York Stock Exchange, Inc.",Technology,Technology,Technology Hardware and Equipment,Electronic Office Equipment,
"Arista Networks, Inc.",ANET,"New York Stock Exchange, Inc.",Telecommunications,Telecommunications,Telecommunications Equipment,Telecommunications Equipment,
Astra Microwave Products Ltd.,532493,BSE LTD,Telecommunications,Telecommunications,Telecommunications Equipment,Telecommunications Equipment,
AT&T Inc.,T,"New York Stock Exchange, Inc.",Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
BCE Inc.,BCE,Toronto Stock Exchange,Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
Bharti Airtel Limited,532454,BSE LTD,Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
BT Group Plc,BT.A,London Stock Exchange,Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
China Mobile Limited,00941,Hong Kong Exchanges And Clearing Ltd,Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
Comcast Corporation Class A,CMCSA,Nasdaq,Telecommunications,Telecommunications,Telecommunications Service Providers,Cable Television Services,
"Foxconn Industrial Internet Co., Ltd. Class A",601138,Shanghai Stock Exchange,Telecommunications,Telecommunications,Telecommunications Equipment,Telecommunications Equipment,
Gogo Inc.,GOGO,Nasdaq,Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
Telefonica Brasil SA Pfd,VIVT3,"The B3 S.A. - Brasil, Bolsa, Balcão",Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
UTStarcom Holdings Corp.,UTSI,Nasdaq,Telecommunications,Telecommunications,Telecommunications Equipment,Telecommunications Equipment,
VEON Ltd,VEON,Nasdaq,Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
Verizon Communications Inc.,VZ,"New York Stock Exchange, Inc.",Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
Vodafone Group Plc,VOD,London Stock Exchange,Telecommunications,Telecommunications,Telecommunications Service Providers,Telecommunications Services,
"American Electric Power Company, Inc.",AEP,"New York Stock Exchange, Inc.",Utilities,Utilities,Electricity,Conventional Electricity,
"American Water Works Company, Inc.",AWK,"New York Stock Exchange, Inc.",Utilities,Utilities,"Gas, Water and Multi-utilities",Water,
Canadian Utilities Limited Class A,CU,Toronto Stock Exchange,Utilities,Utilities,"Gas, Water and Multi-utilities",Multi-utilities,
Centrais Eletricas Brasileiras SA-Eletrobras,ELET3,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,Electricity,Alternative Electricity,
Centrais Eletricas Brasileiras SA-Eletrobras Pfd  B,ELET6,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,Electricity,Alternative Electricity,
China Gas Holdings Limited,00384,Hong Kong Exchanges And Clearing Ltd,Utilities,Utilities,"Gas, Water and Multi-utilities",Gas Distribution,
"China Yangtze Power Co., Ltd.",600900,Shanghai Stock Exchange,Utilities,Utilities,Electricity,Alternative Electricity,
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,"Gas, Water and Multi-utilities",Water,
Companhia Energetica de Minas Gerais SA Pfd,CMIG4,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,Electricity,Alternative Electricity,
CPFL Energia S.A.,CPFE3,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,Electricity,Conventional Electricity,
Dominion Energy Inc,D,"New York Stock Exchange, Inc.",Utilities,Utilities,Electricity,Conventional Electricity,
Energisa SA Units Cons of 1 Sh + 4 Pfd Shs,ENGI11,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,Electricity,Conventional Electricity,
ENGIE Brasil Energia S.A.,EGIE3,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,Electricity,Alternative Electricity,
Equatorial Energia S.A.,EQTL3,"The B3 S.A. - Brasil, Bolsa, Balcão",Utilities,Utilities,Electricity,Conventional Electricity,
FirstEnergy Corp.,FE,"New York Stock Exchange, Inc.",Utilities,Utilities,Electricity,Conventional Electricity,
Gujarat Industries Power Co. Ltd.,517300,BSE LTD,Utilities,Utilities,Electricity,Conventional Electricity,
"Huaneng Power International, Inc.",HNP,"New York Stock Exchange, Inc.",Utilities,Utilities,Electricity,Conventional Electricity,
Middlesex Water Company,MSEX,Nasdaq,Utilities,Utilities,"Gas, Water and Multi-utilities",Water,
National Fuel Gas Company,NFG,"New York Stock Exchange, Inc.",Utilities,Utilities,"Gas, Water and Multi-utilities",Gas Distribution,
NTPC Limited,532555,BSE LTD,Utilities,Utilities,Electricity,Conventional Electricity,
PG&E Corporation,PCG,"New York Stock Exchange, Inc.",Utilities,Utilities,Electricity,Conventional Electricity,
Power Grid Corporation of India Limited,532898,BSE LTD,Utilities,Utilities,Electricity,Conventional Electricity,
Sempra Energy,SRE,"New York Stock Exchange, Inc.",Utilities,Utilities,"Gas, Water and Multi-utilities",Multi-utilities,
Severn Trent Plc,SVT,London Stock Exchange,Utilities,Utilities,"Gas, Water and Multi-utilities",Water,
SJVN Limited,533206,BSE LTD,Utilities,Utilities,Electricity,Alternative Electricity,
SJW Group,SJW,"New York Stock Exchange, Inc.",Utilities,Utilities,"Gas, Water and Multi-utilities",Water,
Southern Company,SO,"New York Stock Exchange, Inc.",Utilities,Utilities,Electricity,Conventional Electricity,
SSE plc,SSE,London Stock Exchange,Utilities,Utilities,Electricity,Conventional Electricity,
Tata Power Company Limited,500400,BSE LTD,Utilities,Utilities,Electricity,Conventional Electricity,
The York Water Company,YORW,Nasdaq,Utilities,Utilities,"Gas, Water and Multi-utilities",Water,
UGI Corporation,UGI,"New York Stock Exchange, Inc.",Utilities,Utilities,"Gas, Water and Multi-utilities",Gas Distribution,
United Utilities Group PLC,UU.,London Stock Exchange,Utilities,Utilities,"Gas, Water and Multi-utilities",Water,
